1, 2, 3
1, 2, 248
1, 2, 236
1, 2, 222
1, 2, 212
1, 2, 204
1, 2, 190
1, 2, 182
1, 2, 161
1, 2, 148
1, 2, 132
1, 2, 116
1, 2, 87
1, 2, 64
1, 2, 47
1, 2, 29
1, 2, 9
1, 2, 259
1, 269, 270
1, 269, 632
1, 269, 613
1, 269, 590
1, 269, 564
1, 269, 536
1, 269, 516
1, 269, 492
1, 269, 467
1, 269, 438
1, 269, 416
1, 269, 397
1, 269, 369
1, 269, 335
1, 269, 299
1, 269, 647
1, 671, 672
1, 671, 1037
1, 671, 1063
1, 671, 1080
1, 671, 1098
1, 671, 1119
1, 671, 1135
1, 671, 1149
1, 671, 1158
1, 671, 1175
1, 671, 1187
1, 671, 1023
1, 671, 996
1, 671, 718
1, 671, 756
1, 671, 792
1, 671, 820
1, 671, 838
1, 671, 870
1, 671, 909
1, 671, 924
1, 671, 948
1, 671, 972
1, 671, 1201
1, 1207, 1208
1, 1207, 1459
1, 1207, 1440
1, 1207, 1420
1, 1207, 1394
1, 1207, 1386
1, 1207, 1362
1, 1207, 1332
1, 1207, 1322
1, 1207, 1307
1, 1207, 1295
1, 1207, 1267
1, 1207, 1233
1, 1207, 1476
1, 1492, 1493
1, 1492, 1778
1, 1492, 1753
1, 1492, 1726
1, 1492, 1700
1, 1492, 1672
1, 1492, 1654
1, 1492, 1621
1, 1492, 1577
1, 1492, 1559
1, 1492, 1515
1, 1492, 1804
1, 1824, 1825
1, 1824, 2281
1, 1824, 2294
1, 1824, 2308
1, 1824, 2341
1, 1824, 2357
1, 1824, 2376
1, 1824, 2391
1, 1824, 2405
1, 1824, 2418
1, 1824, 2263
1, 1824, 2233
1, 1824, 2185
1, 1824, 1854
1, 1824, 1883
1, 1824, 1936
1, 1824, 1984
1, 1824, 2024
1, 1824, 2060
1, 1824, 2093
1, 1824, 2120
1, 1824, 2134
1, 1824, 2425
1, 2452, 2453
1, 2452, 2929
1, 2452, 2979
1, 2452, 3032
1, 2452, 3061
1, 2452, 3081
1, 2452, 3099
1, 2452, 3148
1, 2452, 3164
1, 2452, 3169
1, 2452, 2864
1, 2452, 2815
1, 2452, 2750
1, 2452, 2482
1, 2452, 2527
1, 2452, 2533
1, 2452, 2568
1, 2452, 2618
1, 2452, 2664
1, 2452, 2680
1, 2452, 2701
1, 2452, 2720
1, 2452, 3191
1, 3205, 3206
1, 3205, 3837
1, 3205, 3867
1, 3205, 3892
1, 3205, 3916
1, 3205, 3943
1, 3205, 3983
1, 3205, 4004
1, 3205, 4021
1, 3205, 4033
1, 3205, 4057
1, 3205, 4069
1, 3205, 3797
1, 3205, 3749
